,date,period,coal,ccgt,ocgt,nuclear,oil,wind,hydro,pumped,biomass,other,embedded_wind,embedded_solar,pumped_storage_pumping,ifa,ifa2,britned,moyle,ewic,nemo,nsl,eleclink
0,2023-08-14,1,0,9241,5,4138,0,4211,146,82,1069,164,1176,0,5,369,-106,-594,-383,-304,-356,1399,2
1,2023-08-14,2,0,9175,5,4141,0,4141,144,0,1047,144,1159,0,3,368,-112,-604,-306,-349,-362,1399,2
2,2023-08-14,3,0,9266,5,4136,0,3835,114,0,1039,149,1167,0,58,346,-80,-445,-306,-480,-445,1399,93
3,2023-08-14,4,0,9222,5,4141,0,3620,110,0,1016,146,1174,0,62,355,-81,-440,-306,-432,-448,1399,104
4,2023-08-14,5,0,8979,1,4139,0,3540,94,0,939,155,1181,0,119,716,-204,-704,-306,-517,-307,1399,284
5,2023-08-14,6,0,9071,1,4136,0,3337,99,0,928,153,1188,0,120,740,-213,-722,-306,-528,-302,1383,301
6,2023-08-14,7,0,9361,1,4140,0,3187,96,0,991,147,1189,0,121,701,-223,-954,-306,-527,-384,1173,455
7,2023-08-14,8,0,9315,1,4141,0,3297,92,0,976,144,1190,0,121,701,-228,-954,-306,-523,-388,1163,465
8,2023-08-14,9,0,9065,0,4138,0,3340,92,0,1004,157,1220,0,120,829,-384,-934,-306,-424,-726,1373,446
9,2023-08-14,10,0,9119,0,4140,0,3505,95,0,919,146,1249,0,120,841,-394,-932,-306,-406,-738,1399,435
10,2023-08-14,11,0,9075,2,4137,0,3673,160,204,986,186,1260,0,17,1030,-367,-1021,-320,-266,-766,1399,92
11,2023-08-14,12,0,9555,0,4137,0,3686,200,230,1175,163,1270,0,4,1054,-362,-1025,-431,-153,-767,1399,75
12,2023-08-14,13,0,9518,46,4135,0,3955,341,270,1355,189,1282,20,5,1434,-226,-937,-452,-234,-613,1399,260
13,2023-08-14,14,0,9867,98,4142,0,4691,468,230,1376,204,1294,135,4,1464,-212,-925,-452,-152,-604,1399,287
14,2023-08-14,15,0,9974,45,4138,0,4981,476,276,1192,209,1280,320,5,1733,-69,-313,-436,-252,-136,1399,785
15,2023-08-14,16,0,10378,0,4141,0,5552,442,228,1371,353,1266,570,5,1747,-49,-274,-339,-372,-108,1399,820
16,2023-08-14,17,0,10000,0,4133,0,6057,394,288,1319,207,1301,905,5,1781,330,487,-430,-506,503,1399,915
17,2023-08-14,18,0,10788,0,4135,0,5960,390,240,1344,211,1335,1306,5,1788,368,567,-452,-528,536,1399,923
18,2023-08-14,19,0,10537,0,4138,0,5419,380,50,1397,192,1372,1657,5,1987,788,984,-451,-527,980,1399,993
19,2023-08-14,20,0,10632,0,4134,0,5265,359,0,1403,204,1408,2234,5,2001,819,1003,-451,-527,999,1399,998
20,2023-08-14,21,0,10456,0,4140,0,5347,264,0,1403,145,1464,2525,5,2001,922,1003,-451,-527,999,1399,996
21,2023-08-14,22,0,10002,0,4135,0,5245,256,30,1406,172,1520,2846,4,2001,930,1003,-451,-527,999,1399,996
22,2023-08-14,23,0,10019,0,4149,0,5173,204,0,1402,161,1572,3056,4,2001,988,1003,-451,-527,999,1399,997
23,2023-08-14,24,0,10125,0,4132,0,5053,190,0,1412,188,1624,3211,4,2000,992,1002,-451,-526,999,1399,997
24,2023-08-14,25,0,10253,0,4138,0,4985,186,98,1405,182,1681,3497,4,2001,992,1059,-451,-527,999,1399,997
25,2023-08-14,26,0,10065,0,4143,0,5074,184,0,1411,152,1738,3813,4,1997,992,1061,-451,-527,999,1396,997
26,2023-08-14,27,0,9683,0,4103,0,5377,140,0,1428,200,1784,3749,4,1903,992,1061,-451,-527,999,1360,996
27,2023-08-14,28,0,9526,0,4075,0,5478,139,0,1446,183,1829,3926,4,1896,992,1060,-451,-527,999,1346,990
28,2023-08-14,29,0,9858,0,4086,0,5351,142,0,1432,151,1839,3949,5,1913,992,959,-451,-527,999,1221,792
29,2023-08-14,30,0,9416,0,4088,0,5784,152,0,1400,150,1848,3755,5,1898,972,953,-451,-524,1000,1217,769
30,2023-08-14,31,0,9691,0,4091,0,6442,153,0,1344,149,1853,3678,5,1474,242,565,-451,-454,999,1355,421
31,2023-08-14,32,69,9459,0,4121,0,6637,170,0,1285,177,1857,3475,5,1441,200,489,-451,-520,999,1374,401
32,2023-08-14,33,205,9858,0,4141,0,7073,197,0,1144,239,1837,3282,5,1382,498,-360,-451,-527,759,1396,490
33,2023-08-14,34,225,10201,0,4148,0,7438,223,0,1106,255,1817,3125,6,1363,505,-416,-451,-526,715,1399,494
34,2023-08-14,35,235,12473,1,4150,0,7716,391,108,1237,249,1771,2637,6,823,7,-713,-451,-527,-307,1399,431
35,2023-08-14,36,346,12533,1,4147,0,7802,593,108,1330,306,1724,2174,6,790,-28,-714,-451,-487,-383,1399,425
36,2023-08-14,37,356,12790,1,4147,0,7662,645,226,1413,541,1623,1658,6,1050,-99,-1039,-396,-341,-711,1399,345
37,2023-08-14,38,350,13458,0,4149,0,7384,633,124,1419,464,1521,1145,6,1051,-104,-1074,-435,-221,-723,1399,331
38,2023-08-14,39,354,13499,0,4148,0,7141,453,450,1401,694,1419,653,4,548,-80,-1075,-344,-71,-890,1398,22
39,2023-08-14,40,311,13611,0,4146,0,6823,589,522,1413,588,1317,276,4,508,-82,-1074,-431,-16,-889,1399,-1
40,2023-08-14,41,310,13158,0,4149,0,6826,623,480,1416,508,1249,42,4,169,-195,-992,-413,0,-329,1399,-117
41,2023-08-14,42,280,12942,0,4149,0,7101,612,488,1411,415,1181,0,4,148,-203,-987,-439,-14,-304,1399,-120
42,2023-08-14,43,213,13099,1,4154,0,7164,612,380,1395,260,1142,0,6,143,-219,-789,-451,-141,-162,1398,64
43,2023-08-14,44,0,12686,1,4155,0,7230,600,390,1388,185,1102,0,6,121,-229,-774,-437,-278,-158,1398,72
44,2023-08-14,45,0,13383,0,4155,0,7109,587,214,1388,150,1074,0,6,-613,-566,-897,-341,-254,-496,1399,-77
45,2023-08-14,46,0,12526,1,4151,0,7049,571,138,1382,150,1046,0,5,-668,-575,-897,-430,-380,-509,1399,-90
46,2023-08-14,47,0,10449,1,4155,0,7007,444,138,1371,180,1029,0,5,-156,-84,-763,-396,-394,-725,1399,-217
47,2023-08-14,48,0,9186,2,4150,0,7138,441,138,1377,216,1012,0,4,-127,-52,-753,-441,-245,-733,1398,-225
48,2023-08-15,1,0,8878,2,4143,0,7042,404,140,1386,176,1014,0,3,-292,-97,-777,-452,-140,-1011,1399,-225
49,2023-08-15,2,0,8913,2,4129,0,6687,408,130,1374,189,1016,0,2,-298,-101,-785,-390,-219,-1021,1399,-225
50,2023-08-15,3,0,9056,1,4122,0,6456,338,0,1358,239,980,0,2,-197,-143,-1024,-351,-294,-903,1399,-243
51,2023-08-15,4,0,9039,1,4120,0,6185,385,0,1344,266,943,0,2,-184,-145,-1024,-351,-255,-899,1399,-245
52,2023-08-15,5,0,8954,2,4126,0,5877,351,0,1145,200,911,0,59,100,-127,-1015,-351,-315,-931,1399,-244
53,2023-08-15,6,0,9105,2,4124,0,5627,180,0,1215,183,879,0,61,140,-126,-1014,-351,-301,-931,1395,-245
54,2023-08-15,7,0,8821,3,4125,0,5443,168,0,1253,158,853,0,61,354,-142,-1015,-351,-384,-590,1354,-264
55,2023-08-15,8,0,8866,2,4125,0,5297,120,0,1315,145,826,0,61,368,-139,-1014,-351,-395,-578,1352,-264
56,2023-08-15,9,0,9027,3,4124,0,5030,115,0,1346,178,802,0,61,278,-16,-1015,-351,-277,-875,1394,-228
57,2023-08-15,10,0,9333,1,4129,0,4831,118,0,1349,144,777,0,61,269,-5,-1014,-351,-281,-886,1399,-216
58,2023-08-15,11,0,9535,2,4127,0,4659,165,0,1217,199,764,0,7,111,106,-1075,-351,-236,-1017,1399,100
59,2023-08-15,12,0,10287,2,4128,0,4212,220,0,1374,154,751,0,2,109,119,-1074,-351,-142,-1021,1399,128
60,2023-08-15,13,0,10819,2,4130,0,4061,416,0,1374,199,729,58,2,592,324,-1074,-414,-127,-1002,1398,380
61,2023-08-15,14,0,11774,2,4134,0,3946,443,12,1372,281,706,373,3,634,346,-1070,-452,-77,-983,1398,399
62,2023-08-15,15,0,11523,0,4132,0,3653,451,208,1244,245,718,872,3,1151,658,-548,-436,-220,-169,1398,508
63,2023-08-15,16,0,11461,0,4131,0,3636,449,42,1364,545,729,1498,4,1200,682,-498,-339,-370,-113,1399,522
64,2023-08-15,17,0,11131,0,4123,0,3631,407,196,1367,262,747,2213,4,1622,796,719,-430,-505,520,1399,742
65,2023-08-15,18,0,11468,0,4127,0,3588,406,0,1370,248,764,3646,0,0,0,0,0,0,0,0,0
66,2023-08-15,19,0,11086,0,4127,0,3374,330,0,1370,242,775,4511,0,0,0,0,0,0,0,0,0
67,2023-08-15,20,0,10958,0,4132,0,3181,299,0,1373,243,786,5280,0,0,0,0,0,0,0,0,0
68,2023-08-15,21,0,11422,0,4148,0,3017,220,0,1373,243,790,5835,0,0,0,0,0,0,0,0,0
69,2023-08-15,22,0,11457,0,4135,0,2746,213,20,1369,251,794,6203,0,0,0,0,0,0,0,0,0
70,2023-08-15,23,0,10776,12,4131,0,2523,255,24,1368,490,805,6444,0,0,0,0,0,0,0,0,0
71,2023-08-15,24,0,10522,75,4128,0,2382,245,14,1386,510,816,6610,0,0,0,0,0,0,0,0,0
72,2023-08-15,25,0,10232,3,4125,0,2162,175,38,1402,254,842,6738,0,0,0,0,0,0,0,0,0
73,2023-08-15,26,0,10760,0,4127,0,1838,163,48,1402,178,867,6801,0,0,0,0,0,0,0,0,0
74,2023-08-15,27,0,10831,0,4131,0,1568,152,294,1375,168,889,6755,0,0,0,0,0,0,0,0,0
75,2023-08-15,28,0,10839,0,4128,0,1412,156,170,1326,274,911,6545,0,0,0,0,0,0,0,0,0
76,2023-08-15,29,0,10928,0,4124,0,1249,178,258,1313,177,914,6148,0,0,0,0,0,0,0,0,0
77,2023-08-15,30,0,11228,0,4123,0,1246,192,54,1371,186,916,5684,0,0,0,0,0,0,0,0,0
78,2023-08-15,31,0,11825,0,4127,0,1245,193,72,1369,176,902,5269,0,0,0,0,0,0,0,0,0
79,2023-08-15,32,0,12436,1,4123,0,1343,198,0,1374,148,888,4860,0,0,0,0,0,0,0,0,0
80,2023-08-15,33,10,13564,0,4121,0,1411,279,6,1373,216,865,4389,0,0,0,0,0,0,0,0,0
81,2023-08-15,34,133,14594,1,4124,0,1407,313,32,1326,243,841,3834,0,0,0,0,0,0,0,0,0
82,2023-08-15,35,293,15163,0,4122,0,1397,434,88,1316,421,800,3199,0,0,0,0,0,0,0,0,0
83,2023-08-15,36,437,15256,0,4121,0,1389,438,78,1373,529,758,2539,0,0,0,0,0,0,0,0,0
84,2023-08-15,37,521,15305,0,4123,0,1340,608,102,1377,671,704,1911,0,0,0,0,0,0,0,0,0
